N,T,R,hour
-290478.647974522,95649.7675378481,-2835.78643036681,96
-57821.1047678404,103489.99485699,142.734602092388,96
-58901.0394086337,103453.602600126,-111.585281451312,96
-71498.2977349176,682687.740058325,-1473.80783018279,168
-150707.506385419,675044.746241171,2328.55481868931,168
-128197.428221365,677216.771327176,4459.51636090821,168
-157216.94812234,674416.642213924,3723.74005936421,168
54558.4822154012,1359304.12790176,16061.4639062959,216
13763.5733468492,1356819.90578309,15490.7445431646,216
-122839.021722028,1348501.43670082,12569.1483150009,216
-3104.26974622681,1355792.7318031,13766.4693441358,216
-90705.399170754,1625528.02640098,-34196.8760247283,288
75524.269568167,1800387.24396333,21514.4935933129,288
-2471991.33207242,-879378.577686509,-385840.635285666,288
-144487.35924537,1502867.47446122,-94197.9137761547,336
330575.219590499,2190369.32706968,41385.9571064172,336
245779.497699701,2067654.51329493,30597.3868213296,336
-2940146.93003572,-2542959.79084522,-380276.839229979,336
-1129837.08947667,76887.4137683739,-265883.915340752,336
-1486288.56266123,-1166777.08051697,-39690.2995654848,432
-340978.176536417,811912.313668668,-83532.9148597648,432
-2442080.05877589,-2818045.1728407,-909202.040502958,432
-1494263.23684194,-1180554.48393059,-242768.115330491,432
-114429.649011548,1203307.67174149,23996.2358880695,432
